# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
6.926904259292717470e+00	8.159030466886108002e+00	1.000000000000000000e+00	1.193682699165005237e+06	1.274397968924828339e+06	2.969449475572403171e+05	1.491550279488539556e+06	4.265717834337658249e+06	4.447668601971860314e-01	4.748414161291413804e-01	7.664055590516941630e-01	5.942635932648887565e-02
7.125222773587182701e+00	8.392624976021325622e+00	1.000000000000000000e+00	1.299172102379092714e+06	1.387020428220891161e+06	3.141915239976267330e+05	1.578179589471731335e+06	4.513470925636989996e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516940519e-01	5.942635932648886177e-02
7.285712301959685888e+00	8.581661651365982024e+00	1.000000000000000000e+00	1.388952512657340616e+06	1.482871672934307950e+06	3.285047138730071601e+05	1.650074540150698274e+06	4.719084894892695360e+06	4.447668601971859759e-01	4.748414161291413249e-01	7.664055590516940519e-01	5.942635932648886177e-02
7.408016517522656663e+00	8.725720784227270599e+00	1.000000000000000000e+00	1.460081742191008758e+06	1.558810568347890861e+06	3.396264098012461327e+05	1.705938661788780475e+06	4.878851939455810934e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516939409e-01	5.942635932648887565e-02
7.491863874332182149e+00	8.824482527304494894e+00	1.000000000000000000e+00	1.510222643086181022e+06	1.612341931670461548e+06	3.473580160580922384e+05	1.744774410866716877e+06	4.989919162418234162e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516941630e-01	5.942635932648887565e-02
7.537068210287934278e+00	8.877727604830079500e+00	1.000000000000000000e+00	1.537725021604564972e+06	1.641703985211949097e+06	3.515624330827199738e+05	1.765893138225972187e+06	5.050317080727620050e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516940519e-01	5.942635932648885483e-02
7.543529160459564231e+00	8.885337799416591409e+00	1.000000000000000000e+00	1.541682933442168636e+06	1.645929525894203922e+06	3.521654264109336073e+05	1.768921965200889157e+06	5.058979290390748531e+06	4.447668601971858093e-01	4.748414161291411029e-01	7.664055590516942740e-01	5.942635932648884095e-02
7.575825940997162888e+00	8.923379384304253037e+00	1.000000000000000000e+00	1.561569464604508132e+06	1.667160758398431353e+06	3.551873958623688668e+05	1.784101275093089323e+06	5.102390936521978118e+06	4.447668601971860314e-01	4.748414161291413804e-01	7.664055590516940519e-01	5.942635932648887565e-02
7.646808745314545241e+00	9.006988286834353374e+00	1.000000000000000000e+00	1.605876078323249938e+06	1.714463327642836841e+06	3.618745379089995404e+05	1.817690695188235957e+06	5.198454066485024989e+06	4.447668601971859204e-01	4.748414161291412139e-01	7.664055590516939409e-01	5.942635932648886871e-02
7.756319973835029025e+00	9.135978874334691469e+00	1.000000000000000000e+00	1.675862931295570685e+06	1.789182600479543209e+06	3.723136885788488435e+05	1.870126401629192755e+06	5.348416110136670992e+06	4.447668601971859759e-01	4.748414161291413249e-01	7.664055590516939409e-01	5.942635932648886871e-02
7.904116484245161445e+00	9.310064755443555384e+00	1.000000000000000000e+00	1.773500600837575737e+06	1.893422402096777456e+06	3.866377314462822396e+05	1.942075866734025301e+06	5.554185986411966383e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516940519e-01	5.942635932648886177e-02
8.089870131331458936e+00	9.528859415970170943e+00	1.000000000000000000e+00	1.901498528896375559e+06	2.030075383378005121e+06	4.050239173878742149e+05	2.034429419153445866e+06	5.818309966030708514e+06	4.447668601971860314e-01	4.748414161291413804e-01	7.664055590516942740e-01	5.942635932648886871e-02
8.313168495544857706e+00	9.791877077052868472e+00	1.000000000000000000e+00	2.063341406421811553e+06	2.202861865537494421e+06	4.276916154645083589e+05	2.148288946583352052e+06	6.143939362133637071e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516939409e-01	5.942635932648886177e-02
8.573515798675220623e+00	1.009853377370961880e+01	1.000000000000000000e+00	2.263331676737765316e+06	2.416375217514248099e+06	4.548995163935403107e+05	2.284953848844977096e+06	6.534790357183792628e+06	4.447668601971859204e-01	4.748414161291412139e-01	7.664055590516943850e-01	5.942635932648884789e-02
8.870334004602977274e+00	1.044814865138634730e+01	1.000000000000000000e+00	2.506635947707122657e+06	2.676131406467124820e+06	4.869423153190712910e+05	2.445904375486816280e+06	6.995096349803469144e+06	4.447668601971859759e-01	4.748414161291413249e-01	7.664055590516940519e-01	5.942635932648886177e-02
9.202964102683834469e+00	1.083994547762429761e+01	1.000000000000000000e+00	2.799332770645003766e+06	2.988620007435968611e+06	5.241469055913310149e+05	2.632782507192185149e+06	7.529553277086297981e+06	4.447668601971859759e-01	4.748414161291412694e-01	7.664055590516939409e-01	5.942635932648886871e-02
9.570667570917233746e+00	1.127305436549021955e+01	1.000000000000000000e+00	3.148458978141534608e+06	3.361353674467615783e+06	5.668681199826325756e+05	2.847370563967094291e+06	8.143258435677720234e+06	4.447668601971859759e-01	4.748414161291413249e-01	7.664055590516941630e-01	5.942635932648886871e-02
9.812675420388172753e+00	1.155810946992739119e+01	0.000000000000000000e+00	3.370000000000000000e+06	3.597850187101817690e+06	6.272778066005413420e+05	2.972539635160344653e+06	9.029115770537070930e+06	4.416982507447602679e-01	4.715653113013421049e-01	8.067632947740723814e-01	5.901635511018629016e-02
1.040795298417371839e+01	1.155810946992739119e+01	5.341467781978643359e+00	3.370000034674071241e+06	3.597875048762492836e+06	4.641349468108840520e+05	2.972560175835444592e+06	6.507596637315878645e+06	3.701647131391085921e-01	3.951947690304192240e-01	5.306091101592824710e-01	5.245895180492991111e-02
1.087567594619434175e+01	1.155810946992739119e+01	6.832008317310450884e+00	3.370000716530144680e+06	3.597875776724786032e+06	4.266328696831149282e+05	2.972560777277044021e+06	5.891999414520451799e+06	3.244309609278208661e-01	3.463685600469548209e-01	4.466865448824549056e-01	4.804385220961263081e-02
1.137475843976972278e+01	1.155810946992739119e+01	8.132744463777537902e+00	3.370000085475996602e+06	3.597875102999578230e+06	3.971305987008665688e+05	2.972560220646061469e+06	5.393646294406339526e+06	2.835727143890499624e-01	3.027475320809276393e-01	3.801106706360692922e-01	4.392036023413687512e-02
1.190409237695554090e+01	1.155810946992739119e+01	9.335990449983928130e+00	3.370000017637093086e+06	3.597875030573496129e+06	3.723838257825377514e+05	2.972560160807716660e+06	4.964338026792302728e+06	2.474013778520877949e-01	2.641303368679567276e-01	3.254312907353937856e-01	4.010122809849792774e-02
1.246250250403749682e+01	1.155810946992739119e+01	1.046771528865317968e+01	3.370011452535517048e+06	3.597887238684861455e+06	3.509650610524944495e+05	2.972570247135111596e+06	4.590282005165968090e+06	2.156138612402128951e-01	2.301933897750024771e-01	2.798429968252725830e-01	3.658821364168630269e-02
1.304874901088846784e+01	1.155810946992739119e+01	1.157861382941449868e+01	3.370000029677731916e+06	3.597875043428307399e+06	3.320121363826716552e+05	2.972560171428346541e+06	4.243855784378157929e+06	1.878383859077099594e-01	2.005397729684390284e-01	2.414778385628341961e-01	3.337432540323550384e-02
1.366153028365702760e+01	1.155810946992739119e+01	1.265536036370527206e+01	3.370001727776906453e+06	3.597876856350737158e+06	3.150514157781145186e+05	2.972561669262747280e+06	3.931319905728753656e+06	1.636790712369455003e-01	1.747468368987657450e-01	2.090469392737693555e-01	3.044750930733444022e-02
1.429948579467570369e+01	1.155810946992739119e+01	1.372145001144520648e+01	3.370008640539756045e+06	3.597884236545608845e+06	2.998321163428220316e+05	2.972567766771156806e+06	3.638037520106256939e+06	1.427351147357780736e-01	1.523866773312287926e-01	1.815926995732083105e-01	2.779140606343188588e-02
1.496119912317263001e+01	1.155810946992739119e+01	1.477129359857271851e+01	3.370033668826342095e+06	3.597910957212343346e+06	2.860848232418615953e+05	2.972589843354898505e+06	3.365473133359280881e+06	1.246223987596822291e-01	1.330492030863599240e-01	1.582789238889643069e-01	2.538760778263979279e-02
1.564520110007988407e+01	1.155810946992739119e+01	1.580692448162721142e+01	3.370000060891252942e+06	3.597875076752446126e+06	2.736208498807157157e+05	2.972560198960711248e+06	3.110881279399223626e+06	1.089801835928895651e-01	1.163492816985488565e-01	1.384356562582031713e-01	2.321602996948414488e-02
1.634997306995621358e+01	1.155810946992739119e+01	1.679290416808062858e+01	3.370000238199529704e+06	3.597875266050077509e+06	2.620838633901044959e+05	2.972560355358194094e+06	2.890920828579995316e+06	9.548603998674906612e-02	1.019426816732030561e-01	1.214135827564370301e-01	2.125769614101899463e-02
1.707395026278189931e+01	1.155810946992739119e+01	1.778947329497124841e+01	3.370001501768120565e+06	3.597876615059531294e+06	2.516840928253493621e+05	2.972561469908234198e+06	2.673899038438377436e+06	8.384731008703349975e-02	8.951695601307779748e-02	1.069175060338740241e-01	1.949316761565371078e-02
1.781552526813949200e+01	1.155810946992739119e+01	1.878898893293949968e+01	3.370002288241702132e+06	3.597877454713432118e+06	2.423162552622332878e+05	2.972562163629309274e+06	2.461422835116744973e+06	7.380663022651925975e-02	7.879733845489872435e-02	9.454669711591917602e-02	1.790413234576956891e-02
1.857305160406695066e+01	1.155810946992739119e+01	1.977610967876173120e+01	3.370002284428637475e+06	3.597877450642533135e+06	2.337869761008669448e+05	2.972562160265936982e+06	2.260483655770556536e+06	6.513905819879294012e-02	6.954367649316398059e-02	8.392954309933542412e-02	1.647342910358624846e-02
1.934484737265931642e+01	1.155810946992739119e+01	2.075022100594823016e+01	3.370018232799390797e+06	3.597894477421349846e+06	2.260189728046446980e+05	2.972576227770769037e+06	2.070495187496990198e+06	5.764974675595192083e-02	6.154794756278871015e-02	7.479548070995087339e-02	1.518525125362145227e-02
2.012919899430265858e+01	1.155810946992739119e+01	2.171088903804791315e+01	3.370034011419888586e+06	3.597911322971619200e+06	2.189436879003355571e+05	2.972590145544786472e+06	1.891009539733622456e+06	5.117005457705653404e-02	5.463010703630814813e-02	6.691762496259270887e-02	1.402496041391840600e-02
2.092436501224938539e+01	1.155810946992739119e+01	2.265713307463343540e+01	3.370004589076559059e+06	3.597879911127746105e+06	2.124962121726087353e+05	2.972564193115955219e+06	1.721916910676005064e+06	4.555485892574130669e-02	4.863521916689582392e-02	6.010459763961964463e-02	1.297915037476127416e-02
2.172857995908764650e+01	1.155810946992739119e+01	2.356811570251371535e+01	3.369999956219075248e+06	3.597874965002472047e+06	2.065729121956030140e+05	2.972560106633013114e+06	1.573340040273076622e+06	4.068149811409406402e-02	4.343232804302724070e-02	5.418408689005903972e-02	1.203614892936680225e-02
2.254005827652057903e+01	1.155810946992739119e+01	2.448674565048507290e+01	3.370000667308490258e+06	3.597875724174827337e+06	2.012740020664454205e+05	2.972560733860328794e+06	1.422791267895857338e+06	3.644399339006674371e-02	3.890828876744141518e-02	4.906125901748401019e-02	1.118511012653225674e-02
2.335699827975216181e+01	1.155810946992739119e+01	2.539144770144303109e+01	3.370003948322401848e+06	3.597879227046627086e+06	1.964747518292086024e+05	2.972563627928930800e+06	1.280419706274045631e+06	3.275219412748715808e-02	3.496685484601432664e-02	4.459988792728461493e-02	1.041637721479829123e-02
2.417758615767809616e+01	1.155810946992739119e+01	2.625280086701421922e+01	3.370000089778679889e+06	3.597875107593203429e+06	1.917880319597983325e+05	2.972560224441308994e+06	1.160595497432330158e+06	2.952923320847970073e-02	3.152596150645237127e-02	4.063092405931260920e-02	9.721300767060354897e-03
2.500000000000000000e+01	1.155810946992739119e+01	2.712375004177956228e+01	3.370104924710257910e+06	3.597987031326343305e+06	1.878573917960548424e+05	2.972652695699302480e+06	1.035353184657461243e+06	2.671065096858816698e-02	2.851679040572517934e-02	3.722282641218611215e-02	9.092509254165350580e-03
