1  IEA-3.4MW-RWT, Based on IEA-3.4MW-130D-RWT, version 4.30. aerodynamic Data from the Excel file
7				
1    145  21.00   DU08-W-210  (Re=12x10^6)
70.00		0.50019	    1.28395	    -0.42300
75.00		0.37842	    1.34682	    -0.44011
80.00		0.25665	    1.40968	    -0.45721
85.00		0.12832	    1.43137	    -0.47010
90.00		0.00000	    1.45306	    -0.48299
95.00		-0.08983	1.43137	    -0.48905
100.00		-0.17965	1.40968	    -0.49511
105.00		-0.26489	1.34682	    -0.49299
110.00		-0.35013	1.28395	    -0.49087
115.00		-0.42221	1.18751	    -0.48252
120.00		-0.49430	1.09106	    -0.47417
125.00		-0.54789	0.97269	    -0.46289
130.00		-0.60148	0.85431	    -0.45162
135.00		-0.63633	0.72831	    -0.44238
140.00		-0.67118	0.60230	    -0.43313
145.00		-0.69575	0.48388	    -0.43452
150.00		-0.72031	0.36545	    -0.43591
155.00		-0.76446	0.26890	    -0.47240
160.00		-0.80862	0.17235	    -0.50890
165.00		-0.63905	0.12538	    -0.50445
170.00		-0.46948	0.07842	    -0.50000
175.00		-0.23474	0.03921	    -0.25000
180.00		0.00000	    0.00000	    0.00000
2     145  25.0000 DU91-W2-250 (Re=3.0E+06)
-180.00		0.00000		0.00000		0.00000
-175.00		0.18148		0.05621		0.20000
-170.00		0.36295		0.11241		0.40000
-165.00		0.54443		0.16861		0.19827
-160.00		0.72590		0.22482		-0.00346
-155.00		0.73125		0.31385		-0.01941
-150.00		0.73660		0.40288		-0.03536
-145.00		0.70885		0.51915		-0.00831
-140.00		0.68110		0.63541		0.01875
-135.00		0.64422		0.75875		0.04548
-130.00		0.60734		0.88209		0.07220
-125.00		0.55239		0.99738		0.09933
-120.00		0.49743		1.11267		0.12646
-115.00		0.42446		1.20570		0.15214
-110.00		0.35148		1.29873		0.17782
-105.00		0.26573		1.35796		0.19935
-100.00		0.17999		1.41719		0.22089
-95.00		0.08999		1.43513		0.23560
-90.00		0.00000		1.45306		0.25032
-85.00		-0.08999	1.43513		0.25849
-80.00		-0.17999	1.41719		0.26667
-75.00		-0.26573	1.35796		0.26663
-70.00		-0.35148	1.29873		0.26659
